Dates,Raw Turbulence,Turbulence,Recession
date,number,number,number
1999-04-26,5.730688922125233,6.969498679442071,0
1999-05-03,4.3038425209816955,6.819886895394206,0
1999-05-10,4.5770773473260205,6.6940076679848195,0
1999-05-17,5.569174652523757,6.630875641873744,0
1999-05-24,3.6214250752467354,6.461968160371336,0
1999-05-31,4.597237978365964,6.357308897243095,0
1999-06-07,5.883555171187541,6.3307191437486185,0
1999-06-14,5.238879577738009,6.269438897664952,0
1999-06-21,4.583576415759045,6.174818707143837,0
1999-06-28,4.582585405908944,6.085453518740933,0
1999-07-05,3.5463152945568512,5.942942640712417,0
1999-07-12,3.9748685356383753,5.832483128871775,0
1999-07-19,4.9183173915018505,5.781174948539042,0
1999-07-26,4.309546455962123,5.698578787915959,0
1999-08-02,5.509481192478714,5.687965555401805,0
1999-08-09,4.551268582963529,5.624167656551068,0
1999-08-16,4.84101704831148,5.580212790389871,0
1999-08-23,4.726036066964651,5.532271534696331,0
1999-08-30,4.18729407674181,5.456783750441005,0
1999-09-06,6.140052590768994,5.495132683727595,0
1999-09-13,4.08295960647111,5.415873499154167,0
1999-09-20,5.215992718477028,5.404655052956944,0
1999-09-27,5.5485726474343835,5.412732526864187,0
1999-10-04,7.0510886700223185,5.504686391471107,0
1999-10-11,6.371216476620074,5.553320988082083,0
1999-10-18,7.856767409460356,5.6826035016828325,0
1999-10-25,6.5434427900571555,5.7309186984134435,0
1999-11-01,5.7351832870553485,5.7311580513821,0
1999-11-08,5.983231303659004,5.7453058359207025,0
1999-11-15,4.5728230933404515,5.679499436124534,0
1999-11-22,4.9130744513678755,5.636483307077143,0
1999-11-29,4.8031491295837,5.589711853599488,0
1999-12-06,6.766190464388644,5.655742524245316,0
1999-12-13,7.933301480062031,5.783572086048493,0
1999-12-19,5.479953730812755,5.7665312971784335,0
1999-12-27,6.417041511630468,5.803041630072133,0
2000-01-03,9.716752504404074,6.0227013428591425,0
2000-01-10,7.312851320193813,6.095111897080748,0
2000-01-17,9.392210818732101,6.280163840214877,0
2000-01-24,9.940290262777241,6.4855909513530845,0
2000-01-31,8.204792924838607,6.582082343753948,0
2000-02-07,6.947159946869573,6.602572575153332,0
2000-02-14,8.689969858062916,6.7197291823629985,0
2000-02-21,6.897712900579524,6.729718640879369,0
2000-02-28,9.94460897051868,6.910156570283352,0
2000-03-06,5.18708266013766,6.813447862776183,0
2000-03-13,12.694344858661971,7.143517248718437,0
2000-03-20,6.639649510487986,7.115237325592733,0
2000-03-27,7.449183874517751,7.133980305178726,0
2000-04-03,5.273472706509291,7.029558037442472,0
2000-04-10,11.791637959075954,7.296833046108858,0
2000-04-16,8.231381023747284,7.349285193685748,0
2000-04-24,5.914234837785149,7.268742006124447,0
2000-05-01,8.347032042440217,7.329261775541152,0
2000-05-08,6.050426931144115,7.257486290932769,0
2000-05-15,4.968624452192289,7.129022347056816,0
2000-05-22,8.29916065936505,7.194697164092599,0
2000-05-29,9.424982332585707,7.3198734520901,0
2000-06-05,7.352565384719518,7.32170830927869,0
2000-06-12,6.333909997576089,7.266267450102519,0
2000-06-19,5.066772583640164,7.142819288969233,0
2000-06-26,7.851234523676696,7.1825795809239485,0
2000-07-03,7.038252932973299,7.174479148609372,0
2000-07-10,5.789981592889873,7.096773271704099,0
2000-07-17,3.8081288437558523,6.912195842839985,0
2000-07-24,4.684416134648462,6.787160175523959,0
2000-07-31,6.139676605941459,6.75081971515383,0
2000-08-07,7.747953486765317,6.80678453343382,0
2000-08-14,3.8606552854091296,6.641431004459869,0
2000-08-21,2.856765236239165,6.4290140369484154,0
2000-08-28,5.387896845204272,6.370580618982871,0
2000-09-04,6.664932285361966,6.387101308571686,0
2000-09-11,6.098155830529399,6.3708840450190465,0
2000-09-18,6.694570143044475,6.389051149746105,0
2000-09-25,6.48400173181023,6.394380316425727,0
2000-10-02,5.686205172750033,6.354633499745188,0
2000-10-09,6.506919602319645,6.363180661921206,0
2000-10-16,4.924680370192645,6.282443844340356,0
2000-10-23,7.350128545419272,6.342368382027651,0
2000-10-30,5.655383415084971,6.3038108785806495,0
2000-11-06,6.582220690575931,6.319436820635045,0
2000-11-13,6.554933721267383,6.332654246044366,0
2000-11-20,3.8984260253706804,6.196031514069437,0
2000-11-27,7.800710665937179,6.286095234393371,0
2000-12-04,5.328851054503398,6.232369246865598,0
2000-12-11,5.881103647542861,6.212654223672332,0
2000-12-18,10.749405850680299,6.4672825269306,0
2000-12-25,9.553662203254719,6.640507707589543,0
2001-01-01,14.125306399314239,7.060597178601753,0
2001-01-08,6.5944702304277385,7.034435483257902,0
2001-01-15,5.9295182859434155,6.97242124612881,0
2001-01-22,4.920005398785812,6.8572279960337,0
2001-01-29,5.045988574191282,6.755570938584782,0
2001-02-05,6.1695664544358815,6.722681034140315,0
2001-02-12,4.402000044873827,6.592431218571206,0
2001-02-19,3.6708999660471973,6.428458269001383,0
2001-02-26,5.56511171816134,6.380002350441596,0
2001-03-05,5.881172439440573,6.352005178831734,100
2001-03-12,6.924029610144896,6.384110443202049,100
2001-03-19,5.919910255891977,6.358056888635985,100
2001-03-26,7.171214261557556,6.403695905089156,100
